indicador_codigo,indicador_nombre,departamento,periodo,apertura,valor,unidad
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2023-S2,total,7.1,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2024-S1,total,8.1,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2024-S2,total,6.4,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2025-S1,total,6.6,porcentaje
16,"Porcentaje de NNA con condición de adoptabilidad en el departamento, respecto al total de NNA atendidos por el Sistema de Protección Especial en el departamento",Artigas,2025-S2,total,7.2,porcentaje
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2020-S1,total,3.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2020-S2,total,3.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2021-S1,total,0.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2021-S2,total,3.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2022-S1,total,2.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2022-S2,total,3.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2023-S1,total,8.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2023-S2,total,1.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2024-S1,total,5.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2024-S2,total,2.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2025-S1,total,3.0,cantidad
17,Cantidad de NNA con condición de adoptabilidad en el departamento que pasa a seguimiento de tenencia,Artigas,2025-S2,total,5.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2020-S1,total,0.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2020-S2,total,0.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2021-S1,total,0.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2021-S2,total,0.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2022-S1,total,0.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2022-S2,total,0.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2023-S1,total,0.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2023-S2,total,1.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2024-S1,total,2.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2024-S2,total,0.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2025-S1,total,0.0,cantidad
19,Cantidad de NNA atendidos por el Sistema de Protección Especial en el departamento que tiene Proyecto de Atención Integral (PAI),Artigas,2025-S2,total,0.0,cantidad
20,"Cantidad de NN de 0 a 5 años atendidos por el Sistema de Protección Especial en el departamento, inscriptos en centros de educación y cuidado",Artigas,2021-S1,total,24.0,cantidad
20,"Cantidad de NN de 0 a 5 años atendidos por el Sistema de Protección Especial en el departamento, inscriptos en centros de educación y cuidado",Artigas,2021-S2,total,24.0,cantidad
20,"Cantidad de NN de 0 a 5 años atendidos por el Sistema de Protección Especial en el departamento, inscriptos en centros de educación y cuidado",Artigas,2022-S1,total,25.0,cantidad
20,"Cantidad de NN de 0 a 5 años atendidos por el Sistema de Protección Especial en el departamento, inscriptos en centros de educación y cuidado",Artigas,2022-S2,total,24.0,cantidad
20,"Cantidad de NN de 0 a 5 años atendidos por el Sistema de Protección Especial en el departamento, inscriptos en centros de educación y cuidado",Artigas,2023-S1,total,23.0,cantidad
20,"Cantidad de NN de 0 a 5 años atendidos por el Sistema de Protección Especial en el departamento, inscriptos en centros de educación y cuidado",Artigas,2023-S2,total,23.0,cantidad
20,"Cantidad de NN de 0 a 5 años atendidos por el Sistema de Protección Especial en el departamento, inscriptos en centros de educación y cuidado",Artigas,2024-S1,total,27.0,cantidad
